  Denonimation,  Date creation,  Siege social,  Forme juridique,  Secteur d activite,  url,  Registre de commerce,  Capital
FOR TRADING SARL - 4 TRADING SARL,31/01/2014,14 RUE ARISTIDE LE DANTEC RDC...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/trading-sarl-4-trading-sarl, SNDKR2014B1662,1000000
MAYONCHE SARL,31/01/2014,CITE KHANDAR OUEST FOIRE N°05,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/mayonche-sarl, SNDKR2014B1661,1000000
XELEDRING SARL,31/01/2014,DAKAR 01 PLACE DE L&#039;...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/xeledring-sarl, SNDKR2014B1660,1000000
INTERLINK SARL,27/01/2014,CENTRAL PARK BLOC AVENUE EL...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/interlink-sarl, SNDKR2014B1301,1000000
FALL HANDLING SERVICES SARL - F.H.S. SARL,31/01/2014,NGOR ALMADIES ROUTE DE L...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),TRANSPORT,http://www.creationdentreprise.sn/fall-handling-services-sarl-fhs-sarl, SNDKR2014B1665,1000000
SOCIETE CIVILE PARTICULIERE REPUBLIC - SCP REPUBLIC,30/01/2014,DAKAR RUE BLANCHOT x AVENUE...,SOCIETE CIVILE,IMMOBILIER,http://www.creationdentreprise.sn/societe-civile-particuliere-republic-scp-republic, ,1000000
COSMOS AFRICA SARL,29/01/2014,SACRE COEUR N*8617/G,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/cosmos-africa-sarl, sndkr2014b1452,1000000
K2M SOLAIRE SARL,05/02/2014,CITE CPI VDN N*01,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/k2m-solaire-sarl, SNDKR2014B1979,1000000
HISPANO SENEGALAISE DE CONSTRUCTION SARL - HISPASEN SARL,05/02/2014,29 ROUTE DE L&#039;AEROPORT,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/hispano-senegalaise-de-construction-sarl-hispasen-sarl, SNDKR2014B1980,1000000
GERME SARL,28/01/2014,CITE SIPRES CAP DES BICHES N...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/germe-sarl, SNDKR2014B1409,1000000
LYBIAN SERVICE COMPANY SARL,31/01/2014,HANN MARISTES 1 LOT B 05,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/lybian-service-company-sarl, SNDKR2014B1658 ,1000000
INTER AGRO SARL,06/02/2014,M 4+? 3 BOULEVARD DU...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),AGRO-ALIMENTAIRE,http://www.creationdentreprise.sn/inter-agro-sarl, SNDKR2014B2035,KALIDOUDIEO
AT BATIMENT SUARL,05/02/2014,SACRE COEUR 2 N*8631,S.U.A.R.L,BTP,http://www.creationdentreprise.sn/batiment-suarl, SNDKR2014B-1982,1000000
DIALORE 2W SARL,30/01/2014,SICAP LIBERTE 5 N°5410,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ALIMENTAIRE,http://www.creationdentreprise.sn/dialore-2w-sarl, SNDKR2014B1564,1000000
Societe Africaine de Prestation de Services en Audio Visuel Communication et Télécommunication SARL - SAPCOM SARL,05/02/2014,27 Avenue Georges Pompidou,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/societe-africaine-de-prestation-de-services-en-audio-visuel-communication-et-telecommunication-sarl, SNDKR2014B1984,1000000
NAYA TRAVELLING SARL,31/01/2014,YOFF LAYENNE ROUTE DES...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),TOURISME,http://www.creationdentreprise.sn/naya-travelling-sarl, SNDKR2014B1657,1000000
FRENCH SAOUDIAN CONSULTING OFFICE SENEGAL SARL - FRESACOS SARL,31/01/2014,SACRE COEUR 3 IMMEUBLE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/french-saoudian-consulting-office-senegal-sarl-fresacos-sarl, SNDKR2014B1653,1000000
Aeroport International Khadim Rassoul Sa,05/02/2014,62  rue carnot,SOCIETE ANONYME (S.A),BTP,http://www.creationdentreprise.sn/aeroport-international-khadim-rassoul-sa, SNDKR2014B1983,10000000
LYNERGIES AFRIQUE SARL,31/01/2014,SICAP LIBERTE 6 EXTENSION...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/lynergies-afrique-sarl, SNDKR2014B1663,1000000
LS TECHNOLOGIES SARL,04/02/2014,NORD FOIRE RUE YF 220 VILLA N...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/ls-technologies-sarl, SNDKR2014B1817,1000000
PELLAL INTERNATIONAL SARL,04/02/2014,Parcelles Assainies Rond...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/pellal-international-sarl, SNDKR2014B1816,1000000
EDUCATEL AFRIQUE DE L&#039;OUEST SARL,29/01/2014,MERMOZ PYROTECHNIE LOT N°74,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),EDUCATION - FORMATION,http://www.creationdentreprise.sn/educatel-afrique-de-louest-sarl, SNDKR2014B1453,2500000
CLINIQUE TERANGE SARL,04/02/2014,CITE GADAYE N*232,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),SANTE,http://www.creationdentreprise.sn/clinique-terange-sarl, SNDKR2014B1821,1000000
TRUST SECURITE INTERNATIONALE SUARL - T.S.I. SUARL,29/01/2014,PARCELLES ASSAINIES UNITE 26...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/trust-securite-internationale-suarl-tsi-suarl, SNDKR2014B1450 ,1000000
SIDEFCo AFRIQUE SUARL,04/02/2014,Hlm Fass N*18,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/sidefco-afrique-suarl, SNDKR2014B1820,1000000
ZUVAN TECHNOCRATS SUARL - Z.T. SUARL,27/01/2014,KM 18 ROUTE DE RUFISQUE,S.U.A.R.L,BTP,http://www.creationdentreprise.sn/zuvan-technocrats-suarl-zt-suarl, SNDKR2014B1306 ,1000000
TERRE ET PARC D&#039;AFRIQUE  suarl,05/02/2014,TERROU BAYE SOGUI CORNICHE...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/terre-et-parc-dafrique-suarl-0, SNDKR2014B1981,1000000
TERRE ET PARC D&#039;AFRIQUE  suarl,05/02/2014,TERROU BAYE SOGUI CORNICHE...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/terre-et-parc-dafrique-suarl, SNDKR2014B1981,1000000
CAYOR AZUL SARL,30/01/2014,LIBERTE 6 EXTENSION VILLA N°18,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMMOBILIER,http://www.creationdentreprise.sn/cayor-azul-sarl, SNDKR2014B1562,1000000
MAMADOU GAYE SAMB SUARL,03/02/2014,DAKAR THIAROYE GARE QUARTIER...,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/mamadou-gaye-samb-suarl, SNDKR2014B1762,1000000
SOCIETE CIVILE PARTICULIERE MILAN DU SENEGAL - SCP MILAN DU SENEGAL,29/01/2014,13-15 RUE COLBERT x FELIX...,SOCIETE CIVILE,IMMOBILIER,http://www.creationdentreprise.sn/societe-civile-particuliere-milan-du-senegal-scp-milan-du-senegal, BORD.N°238 CASE 264 ,300000
TEELDO HEALTH SARL,29/01/2014,SICAP LIBERTE 3 IMMEUBLE A...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/teeldo-health-sarl, SNDKR2014B1457,1000000
TAMBAKOUMALA JOINT VENTURE SA,22/01/2014,ROUTE DU MERIDIEN PRESIDENT N...,SOCIETE ANONYME (S.A),INDUSTRIE EXTRACTIVE - MINES ET CARRIERES,http://www.creationdentreprise.sn/tambakoumala-joint-venture-sa, SNDKR2014B1015,10000000
ONEWAY COMMUNICATIONS SARL,27/01/2014,CITE CDE OUEST FOIRE,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/oneway-communications-sarl, SNDKR2014B1303,1005000
Studio DUE Consulting SA,22/01/2014,Liberte 6 Extension N*19,SOCIETE ANONYME (S.A),COMMERCE,http://www.creationdentreprise.sn/studio-due-consulting-sa, SNDKR2014B1010,1000000
SEN DOCTEUR SA,29/01/2014,CITE TEYLIUM VDN DERRIERE...,SOCIETE ANONYME (S.A),SANTE,http://www.creationdentreprise.sn/sen-docteur-sa, SNDKR2014B1459 ,10000000
SMART STRATEGIES SARL,03/02/2014,HANN MARISTES SCAT URBAM LOT...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/smart-strategies-sarl, SNDKR2014B1759,1000000
NOBEL ILAC SANAYII VE TICARET SA,28/01/2014,DAKAR SOPRIM EXTENSION VILLA...,SOCIETE ANONYME (S.A),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/nobel-ilac-sanayii-ve-ticaret-sa, SNDKR2014B1404,0
FAN XING SARL,04/02/2014,MEDINA RUE 7 * 8,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PECHE,http://www.creationdentreprise.sn/fan-xing-sarl, SNDKR2014B 1827,1000000
GLOBAL TRADE AND CONSULTING SARL - G.T.C. SARL,14/02/2014,IMMEUBLE ASSANE ET AMI -...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/global-trade-and-consulting-sarl-gtc-sarl, SNDKR2014B2640,1000000
SOCIETE CIVILE IMMOBILIERE SONGGO - SCI SONGGO,07/02/2014,IMMEUBLE MALICK SY 3EME ETAGE...,SOCIETE CIVILE,IMMOBILIER,http://www.creationdentreprise.sn/societe-civile-immobiliere-songgo-sci-songgo, BORD.N°315 CASE 341,1000000
INTERNATIONAL BUSINESS SOLUTIONS SUARL - I.B.S. SUARL,11/02/2014,SICAP LIBERTE 6 N°6860,S.U.A.R.L,TRANSPORT,http://www.creationdentreprise.sn/international-business-solutions-suarl-ibs-suarl, SNDKR2014B2390,1000000
