  Denonimation,  Date creation,  Siege social,  Forme juridique,  Secteur d activite,  url,  Registre de commerce,  Capital
 SNDKR2009B14516, 1.000.000 F CFACONSULTANCE  EXPERTISE  REALISATION ET SUIVI D&#039;OUVRAGES EN BTP SARL,25/08/2009,DAKAR DANGOU NORD RUFISQUE,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/consultance-expertise-realisation-et-suivi-douvrages-en-btp-sarl, SNDKR2009B14516, 1.000.000 F CFA
 SNDKR2009B14515, 1.000.000 F CFALA GENERALE D&#039;ENTREPRISE DE TRANSACTIONS ET DE COMMERCE SUARL,25/08/2009,AMITIE III N°4259- DAKAR,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/la-generale-dentreprise-de-transactions-et-de-commerce-suarl, SNDKR2009B14515, 1.000.000 F CFA
 SNDKR2009B14514, 1.000.000 F CFACAFE KERMEL- SARL,25/08/2009,Rue Dial Diop x Belfort -DAKAR,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/cafe-kermel-sarl, SNDKR2009B14514, 1.000.000 F CFA
 SNDKR2009B14517, 1.000.000 F CFAAFRICA TELECOMS CONSULTING SARL,25/08/2009,DAKAR (SENEGAL) RUE OKM 400 ...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/africa-telecoms-consulting-sarl, SNDKR2009B14517, 1.000.000 F CFA
 SNDKR2009B14091, 1.000.000 F CFACOMPAGNIE DE TRAVAUX ET DE SERVICES SARL,17/08/2009,DAKAR (Sénègal) 18 Rue Léo...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/compagnie-de-travaux-et-de-services-sarl, SNDKR2009B14091, 1.000.000 F CFA
 SNDKR2009B14159, 1.000.000 F CFACOLORPLUS SARL,18/08/2009,DAKAR-Sénègal  Cité Africa ...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/colorplus-sarl, SNDKR2009B14159, 1.000.000 F CFA
 SNDKR2009B14093, 1000.000 F CFACENTRALE DES METIERS DE L&#039;ARTISANAT SARL,17/08/2009,DAKAR (Sénègal) Pikine Icotaf...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/centrale-des-metiers-de-lartisanat-sarl, SNDKR2009B14093, 1000.000 F CFA
 SNDKR2009B14094, 1.000.000 F CFACRE&#039;ART SARL,17/08/2009,DAKAR-Sénègal  Liberté VI ...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),EDITION / POLYGRAPHIQUE / IMPRIMERIE / PAPIERS-CARTON,http://www.creationdentreprise.sn/creart-sarl, SNDKR2009B14094, 1.000.000 F CFA
 SNDKR2009B14160, 1.000.000 F CFAOLA GROUPE SARL,18/08/2009,DAKAR(Sénègal) Mermoz...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/ola-groupe-sarl, SNDKR2009B14160, 1.000.000 F CFA
 SNDKR2009B12199, 1.000.000 F.CFAMAHA DISTRIBUTION SARL,14/07/2009,Rufisque-Boulevard Maurice...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ENERGIE / PRODUITS PETROLIERS,http://www.creationdentreprise.sn/maha-distribution-sarl, SNDKR2009B12199, 1.000.000 F.CFA
 SNDKR2009B11546, 1.000.000 F CFAJEAN PIERRE MENDY SUARL,02/07/2009,DAKAR BANLIEUE 963  NIMZATH...,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/jean-pierre-mendy-suarl, SNDKR2009B11546, 1.000.000 F CFA
 SNDKR2009B11547, 1.000.000 F CFAGENIE CONSTRUCTIONS SARL,02/07/2009,DAKAR 2 CITE DE LA COMMUNAUTE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/genie-constructions-sarl, SNDKR2009B11547, 1.000.000 F CFA
 SNDKR2009B14296, 10.000.000 FRANCS CFASNTT LOGISTICS S.A,19/08/2009,DAKAR-12 Boulevard Djily MBAYE,SOCIETE ANONYME (S.A),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/sntt-logistics-sa, SNDKR2009B14296, 10.000.000 FRANCS CFA
 SNDKR2009B11385, 2.000.000 F CFAEDILMORO SENITA SARL,01/07/2009,Dakar-Sénégal Médina Rue 66...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/edilmoro-senita-sarl, SNDKR2009B11385, 2.000.000 F CFA
 SNDKR2009B14090, 1.000.000 F CFALE COMPTOIR DE LA SENEGALAISE,17/08/2009,DAKAR  Sacré-coeur III VDN...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ALIMENTAIRE,http://www.creationdentreprise.sn/le-comptoir-de-la-senegalaise, SNDKR2009B14090, 1.000.000 F CFA
 SNDKR2009B14196, 1.000.000 F CFASENEGAL TABAC SARL,18/08/2009,DAKAR(Sénègal)  67  rue...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/senegal-tabac-sarl, SNDKR2009B14196, 1.000.000 F CFA
 SNDKR2009B14195, 1.000.000 F CFAOUEST NEGOCE INTERNATIONAL SUARL,18/08/2009,DAKAR (Sénégal)  27  Avenue...,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/ouest-negoce-international-suarl, SNDKR2009B14195, 1.000.000 F CFA
 SNDKR2009B14096, 1.000.000 F CFAYAMACOM SARL,17/08/2009,DAKAR (Sénègal)  Sacré Coeur...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),EDITION / POLYGRAPHIQUE / IMPRIMERIE / PAPIERS-CARTON,http://www.creationdentreprise.sn/yamacom-sarl, SNDKR2009B14096, 1.000.000 F CFA
 SNDKR2009B14095, 1.000.000 F CFAAMCIS CORPORATION SENEGAL SUARL,17/08/2009,DAKAR(Sénègal)  Sacré Coeur...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/amcis-corporation-senegal-suarl, SNDKR2009B14095, 1.000.000 F CFA
