  Denonimation,  Date creation,  Siege social,  Forme juridique,  Secteur d activite,  url,  Registre de commerce,  Capital
 SNDKR2011B1197, 1 000 000REMSS COMPANY,09/02/2011,GIBRALTAR 1 N°89,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/remss-company, SNDKR2011B1197, 1 000 000
 SNDKR2011B1992, 1 000 000BAZOF SARL,11/02/2011,SICAP RUE 10 VILLA N°3070,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),RESTAURATION ET DEBITS DE BOISSONS,http://www.creationdentreprise.sn/bazof-sarl, SNDKR2011B1992, 1 000 000
 SNDKR2011B1994, 1 000 000SAMRES SENEGAL SUARL,11/02/2011,13-15 COLBERT ANGLE FELIX...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/samres-senegal-suarl, SNDKR2011B1994, 1 000 000
 SNDKR2011B1993, 1 000 000TERANGA TRADING SENEGAL SUARL - TTS SUARL,09/02/2011,THIAROYE AZUR  117 CITE...,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/teranga-trading-senegal-suarl-tts-suarl, SNDKR2011B1993, 1 000 000
 SNDKR2011B1996, 1 000 000TAWFFEX INDUSTRIE T COMMERCE SUARL -T.I.C SUARL,09/02/2011,KEUR MASSAR CITE AINOUMADY N°...,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/tawffex-industrie-t-commerce-suarl-tic-suarl, SNDKR2011B1996, 1 000 000
 SNDKR2011B1995, 1 000 000BATIMENT RESOLUTION SARL -BATRES SARL,09/02/2011,SICAP LIBERTE 4 VILLA N°5178/L,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/batiment-resolution-sarl-batres-sarl, SNDKR2011B1995, 1 000 000
 SNDKR2011B1889, 1 000 000COPAL SARL,08/02/2011,47 BOULEVARD DE LA REPUBLIQUE,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/copal-sarl, SNDKR2011B1889, 1 000 000
 SNDKR2011B1888, 1 000 000NS TRADING SARL,08/02/2011,MARCHE HLM CENTRE COMMERCIAL...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/ns-trading-sarl, SNDKR2011B1888, 1 000 000
 SNDKR2011B1405, 500 000 000SOCIETE DE PROMOTION ET DE COMMERCIALISATION DU RIZ AU SENEGAL SA - SPCRS SA,27/02/2011,10 RUE BERANGER FERRAUD,SOCIETE ANONYME (S.A),COMMERCE,http://www.creationdentreprise.sn/societe-de-promotion-et-de-commercialisation-du-riz-au-senegal-sa-spcrs-sa, SNDKR2011B1405, 500 000 000
 SNDKR2011B1638, 1 000 000SANDTECH SUARL,02/02/2011,CITE MIXTA BLOC A VILLA N°421,S.U.A.R.L,BTP,http://www.creationdentreprise.sn/sandtech-suarl, SNDKR2011B1638, 1 000 000
 SNDKR2011B1490, 2 000 000CABINET DIENG AND ASSOCIES SARL,31/01/2011,59 RUE 4 BOPP,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),FINANCE,http://www.creationdentreprise.sn/cabinet-dieng-and-associes-sarl, SNDKR2011B1490, 2 000 000
 SNDKR2011B1454, 1 000 000EKA SARL,31/01/2011,4 RUE MAGE x PARCHAPPE ...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIE EXTRACTIVE - MINES ET CARRIERES,http://www.creationdentreprise.sn/eka-sarl, SNDKR2011B1454, 1 000 000
 SNDKR2011B1554, 1 000 000LA PAJE SUARL,01/02/2011,PATTE D&#039;OIE VILLA N°G/9,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/la-paje-suarl, SNDKR2011B1554, 1 000 000
 SNDKR2011B1553, 1 000 000SOCIETE GENERALE DE PROMOTION IMMOBILIERE ET DE CONSTRUCTION SARL,01/02/2011,HLM 6 VILLA N°2610,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/societe-generale-de-promotion-immobiliere-et-de-construction-sarl, SNDKR2011B1553, 1 000 000
 SNDKR2011B1942, 1 000 000AFRICA BUSINESS CORPORATE GROUP -ABC GROUP SARL,09/02/2011,SODIDA IMMEUBLE LES DUNES N°G...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/africa-business-corporate-group-abc-group-sarl, SNDKR2011B1942, 1 000 000
 SNDKR2011B1760, 1 000 000CLAUDEF SARL,07/02/2011,AVENUE LAMINE GUEYE x LAMY  ...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/claudef-sarl, SNDKR2011B1760, 1 000 000
 SNDKR2011B1808, 1 000 000BIB VISION SARL,07/02/2011,HLM FASS PAILLOTTE N°59 ...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/bib-vision-sarl, SNDKR2011B1808, 1 000 000
 SNDKR2011B1943, 1 000 000AMA LOCATION DE VOITURES SARL,09/02/2011,YOFF LAYENE ROUTE DE L&#039;...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),TRANSPORT,http://www.creationdentreprise.sn/ama-location-de-voitures-sarl, SNDKR2011B1943, 1 000 000
 SNDKR2010B15490, 1 000 000PALENE ALIMENTATION SUARL,03/11/2010,YOFF DJILY MBAYE VILLA N°94/B,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/palene-alimentation-suarl, SNDKR2010B15490, 1 000 000
 SNDKR2010B15322, 1 000 000BATI-SEN SUARL,28/10/2010,11 BIS CITE MILLIONNAIRE...,S.U.A.R.L,IMMOBILIER,http://www.creationdentreprise.sn/bati-sen-suarl, SNDKR2010B15322, 1 000 000
 SNDKR2010B15645, 1 000 000SERENO SARL,05/11/2010,MEDINA RUE 1x16,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/sereno-sarl, SNDKR2010B15645, 1 000 000
 SNDKR2010B15646, 1 000 000LE CAYOR IMMO SARL,05/11/2010,PIKINE TALLY BOU BESS...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/le-cayor-immo-sarl, SNDKR2010B15646, 1 000 000
 SNDKR2010B15504, 10 000 000ARIAS CONSTRUCTION SA,03/11/2010,LOT 7 ZONE 9 ALMADIES ROUTE...,SOCIETE ANONYME (S.A),BTP,http://www.creationdentreprise.sn/arias-construction-sa, SNDKR2010B15504, 10 000 000
 SNDKR2010B15499, 10 000 000SAIM STRADA SA,03/11/2010,COLOBANE CITE DOUANE IMMEUBLE...,SOCIETE ANONYME (S.A),IMMOBILIER,http://www.creationdentreprise.sn/saim-strada-sa, SNDKR2010B15499, 10 000 000
 SNDKR2010B15215, 1 000 000NEW COMPANY SARL -NEWCO SARL,27/10/2010,08 BOULEVARD DU SUD RESIDENCE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/new-company-sarl-newco-sarl, SNDKR2010B15215, 1 000 000
 SNDKR2010B15480, 1 000 000LA SENEGALAISE DU NETTOYAGE MODERNE SARL,03/11/2010,KM 5 BOULEVARD DU CENTENAIRE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ENTRETIEN ET NETTOYAGE,http://www.creationdentreprise.sn/la-senegalaise-du-nettoyage-moderne-sarl, SNDKR2010B15480, 1 000 000
 SNDKR2011B1145, 1 000 000NAUD INDUSTRIES SARL,19/01/2011,SICAP AMITIE 3 VILLA N°4116...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/naud-industries-sarl, SNDKR2011B1145, 1 000 000
 SNDKR2011B1451, 5 000 000SIEMAR INTERNATIONAL SENEGAL SARL,31/01/2011,YOFF APECSY 1 VILLA N°51 DAKAR,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/siemar-international-senegal-sarl, SNDKR2011B1451, 5 000 000
 SNDKR2011B3530, 1 000 000AVIATION CONSULTING INTERNATIONAL SUARL- A.C.I. SUARL,10/03/2011,CK 65  CITE KEUR KHADIM SCAT...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/aviation-consulting-international-suarl-aci-suarl, SNDKR2011B3530, 1 000 000
 SNDKR2010E156000, 0RIA FINANCIAL SENEGAL,22/10/2010,POINT E  1 ALLEES SEYDOU...,SUCCURSALE,FINANCE,http://www.creationdentreprise.sn/ria-financial-senegal, SNDKR2010E156000, 0
 SNDKR2010E15600, 0RIA FINANCIAL SENEGAL,22/10/2010,POINT E  1 ALLEES SEYDOU...,SUCCURSALE,FINANCE,http://www.creationdentreprise.sn/ria-financial-senegal-0, SNDKR2010E15600, 0
 SNDKR2010B14769, 1 000 000ALSO SARL,18/10/2010,CITE SAGEF OUEST FOIRE LOT N°...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),MATERIELS ELECTRIQUES,http://www.creationdentreprise.sn/also-sarl, SNDKR2010B14769, 1 000 000
 SNDKR2010B15319, 1 000 000BERSI.DOC SUARL,28/10/2010,OUEST FOIRE LOTISSEMENT MAME...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/bersidoc-suarl, SNDKR2010B15319, 1 000 000
 SNDKR2010B15598, 1 000 000AFRIC SCREEN SARL,04/11/2010,HLM V N°2370,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMUNICATION,http://www.creationdentreprise.sn/afric-screen-sarl, SNDKR2010B15598, 1 000 000
 SNDKR2010B15497, 1 000 000BY FILLING SARL,03/11/2010,SOTRAC MERMOZ VILLA N°58,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMUNICATION,http://www.creationdentreprise.sn/filling-sarl, SNDKR2010B15497, 1 000 000
 SNDKR2010B15498, 1 000 000AGRIZ SENEGAL SARL,03/11/2010,ZONE 1 LOT A LES ALMADIES,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/agriz-senegal-sarl, SNDKR2010B15498, 1 000 000
 SNDKR2010B15320, 1 000 000MANITECH SUARL,28/10/2010,30 MST DIAMALAYE 2 /64506,S.U.A.R.L,IMMOBILIER,http://www.creationdentreprise.sn/manitech-suarl, SNDKR2010B15320, 1 000 000
 SNDKR2010B15503, 1 000 000BOUBOU NEGOCE INTERNATIONAL SUARL,03/11/2010,NORD FOIRE VILLA N°19,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/boubou-negoce-international-suarl, SNDKR2010B15503, 1 000 000
 SNDKR2011B2561, 10 000 000SENEGAL BUS SA,23/02/2011,17 ROUTE DE NGOR,SOCIETE ANONYME (S.A),TRANSPORT,http://www.creationdentreprise.sn/senegal-bus-sa, SNDKR2011B2561, 10 000 000
 SNDKR2011B3187, 1 000 000SENEGALAISE DE TRANSACTIONS IMMOBILIERES DU BATIMENT SUARL -SETIM-BAT SUARL,07/03/2011,01 ROUTE DE L&#039;AEROPORT...,S.U.A.R.L,IMMOBILIER,http://www.creationdentreprise.sn/senegalaise-de-transactions-immobilieres-du-batiment-suarl-setim-bat-suarl, SNDKR2011B3187, 1 000 000
 SNDKR2005B14030, 50 000 000COMPAGNIE SENEGALAISE MARIAMA DIENG SA -COSEMAD SA,01/02/2011,RUE 39 x 22 MEDINA PARCELLE N...,SOCIETE ANONYME (S.A),COMMERCE,http://www.creationdentreprise.sn/compagnie-senegalaise-mariama-dieng-sa-cosemad-sa, SNDKR2005B14030, 50 000 000
 SNDKR2011B3184, 1 000 000VISION INTERNATIONALE DES PRODUITS SUARL,07/03/2011,ROUTE DE L&#039;AEROPORT EN...,S.U.A.R.L,PRESTATION DE SERVICES INDUSTRIELS,http://www.creationdentreprise.sn/vision-internationale-des-produits-suarl, SNDKR2011B3184, 1 000 000
 SNDKR2011B3062, 1 000 000SENEGALAISE DES TRAVAUX ET DE L&#039;EQUIPEMENT SARL - SEN.TRA.VEQ SARL,03/03/2011,CITE SOPRIM VILLA N°118,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/senegalaise-des-travaux-et-de-lequipement-sarl-sentraveq-sarl, SNDKR2011B3062, 1 000 000
 SNDKR2011B3186, 1 000 000GROUPE SENEGALO-ITALIEN DE NEGOCE SARL,07/03/2011,8 BOULEVARD DU CENTENAIRE DE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/groupe-senegalo-italien-de-negoce-sarl, SNDKR2011B3186, 1 000 000
 SNDKR2011B3064, 1 000 000B.A.M. CONSULTING SUARL,03/03/2011,CENTRAL PARK AVENUE MALICK SY...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/bam-consulting-suarl, SNDKR2011B3064, 1 000 000
 SNDKR2011B2984, 5 000 000SAFAR IMMOBILIER SUARL,02/03/2011,SICAP LIBERTE 2 VILLA N°1544,S.U.A.R.L,IMMOBILIER,http://www.creationdentreprise.sn/safar-immobilier-suarl, SNDKR2011B2984, 5 000 000
 SNDKR2011B3076, 1 000 000INTERMED VISIONS SARL,03/03/2011,SCAT URBAM GRAND YOFF VILLA N...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/intermed-visions-sarl, SNDKR2011B3076, 1 000 000
 SNDKR2011B3534, 1 000 000LUXGROUP SARL,10/03/2011,401 ESPACE OUAKAM,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMMOBILIER,http://www.creationdentreprise.sn/luxgroup-sarl, SNDKR2011B3534, 1 000 000
 SNDKR2011B2900, 1 000 000ATLANTIQUE AGRO PRODUCTIONS SARL,01/03/2011,KM 4.5 BOULEVARD DU...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),AGRICULTURE,http://www.creationdentreprise.sn/atlantique-agro-productions-sarl, SNDKR2011B2900, 1 000 000
 SNDKR2011B2665, 1 000 000SCATIPS SARL,24/02/2011,PARCELLES ASSAINIES UNITE 19...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/scatips-sarl, SNDKR2011B2665, 1 000 000
 SNDKR2011B2837, 1 000 000TERRA MAKANE SARL,28/02/2011,CENTRE DE SAUVEGARDE CAMBERENE,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/terra-makane-sarl, SNDKR2011B2837, 1 000 000
 SNDKR2011B2834, 1 000 000SEN LEADER SARL,28/02/2011,DAKAR GRAND DAKAR VILLA N°199,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ENTRETIEN ET NETTOYAGE,http://www.creationdentreprise.sn/sen-leader-sarl, SNDKR2011B2834, 1 000 000
 SNDKR2011B2833, 1 000 000EL MANSOUR ENTREPRISE SUARL,28/02/2011,RUFISQUE KEURY KAO RUE...,S.U.A.R.L,IMMOBILIER,http://www.creationdentreprise.sn/el-mansour-entreprise-suarl, SNDKR2011B2833, 1 000 000
 SNDKR2011B2987, 1 000 000SATIS SARL,02/03/2011,SACRE COEUR 2 VILLA N°8635/F,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/satis-sarl, SNDKR2011B2987, 1 000 000
 SNDKR2011B2989, 1 000 000KINE FALL SARL,02/03/2011,RUE A ANGLE 3 POINT E,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/kine-fall-sarl, SNDKR2011B2989, 1 000 000
 SNDKR2011B2986, 1 000 000DUK TRADING SARL,02/03/2011,RUFISQUE QUARTIER ARAFAT 2,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIE METALLURGIQUE / SIDERURGIQUE,http://www.creationdentreprise.sn/duk-trading-sarl, SNDKR2011B2986, 1 000 000
 SNDKR2011B2928, 1 000 000MARADAM PAYMENT SERVICES SARL,01/03/2011,HANN MARISTES ESPACE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),FINANCE,http://www.creationdentreprise.sn/maradam-payment-services-sarl, SNDKR2011B2928, 1 000 000
 SNDKR2011B3104, 50 000 000TRADIGRAIN-AFRICA SARL,03/03/2011,12 AVENUE NELSON MANDELA,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/tradigrain-africa-sarl, SNDKR2011B3104, 50 000 000
 SNDKR2011B2545, 100 000 000SOCIETE DE GESTION IMMOBILIERE-PAMECAS- SGI-PAMECAS SA SA,23/02/2011,PAMECAS AVENUE BOURGUIBA,SOCIETE ANONYME (S.A),IMMOBILIER,http://www.creationdentreprise.sn/societe-de-gestion-immobiliere-pamecas-sgi-pamecas-sa-sa, SNDKR2011B2545, 100 000 000
 SNDKR2011B2667, 10 000 000TERIA SA,24/02/2011,VILLA N°95 NGOR ALMADIES,SOCIETE ANONYME (S.A),PECHE,http://www.creationdentreprise.sn/teria-sa, SNDKR2011B2667, 10 000 000
 SNDKR2011B2836, 1 000 000NDIENE LAGANE SARL,28/02/2011,VILLA N°445 LOTISSEMENT DJILY...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMMOBILIER,http://www.creationdentreprise.sn/ndiene-lagane-sarl, SNDKR2011B2836, 1 000 000
 SNDKR2011B2899, 1 000 000AFRICA MINES SARL,01/03/2011,05 AVENUE GEORGES POMPIDOU ...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIE METALLURGIQUE / SIDERURGIQUE,http://www.creationdentreprise.sn/africa-mines-sarl, SNDKR2011B2899, 1 000 000
 SNDKR2011B2988, 1 000 000I SOLUTIONS SARL,02/03/2011,SACRE COEUR 3 PYROTECHNIE LOT...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/i-solutions-sarl, SNDKR2011B2988, 1 000 000
 SNDKR2011E947, 5 000 000AFRICAN INDUSTRIAL SERVICES-GROUP SENEGAL - AIS-GROUP SENEGAL,19/01/2011,ZONE INDUSTRIELLE /1028,SUCCURSALE,MATERIELS ELECTRIQUES,http://www.creationdentreprise.sn/african-industrial-services-group-senegal-ais-group-senegal, SNDKR2011E947, 5 000 000
 SNDKR2011B3065, 1 000 000TANMIYAT DEVELOPPEMENT SUARL,03/03/2011,99 RUE AMADOU ASSANE NDOYE EX...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/tanmiyat-developpement-suarl, SNDKR2011B3065, 1 000 000
 SNDKR2011B2835, 1 000 000GROUPE SENE ENTREPRISE -G.S.E. SARL,28/02/2011,D/15 SCAT URBAM GRAND YOFF A...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/groupe-sene-entreprise-gse-sarl, SNDKR2011B2835, 1 000 000
 SNDKR2011B2831, 1 000 000GUEDE IMMOBILIER SARL,28/02/2011,87  BOPP RUE 6 ANGLE 10,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMMOBILIER,http://www.creationdentreprise.sn/guede-immobilier-sarl, SNDKR2011B2831, 1 000 000
 SNDKR2011B2829, 1 000 000TOUBA MINING SARL,28/02/2011,CITE DJILY MBAYE N°269 BIS,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIE EXTRACTIVE - MINES ET CARRIERES,http://www.creationdentreprise.sn/touba-mining-sarl, SNDKR2011B2829, 1 000 000
 SNDKR2011B2541, 1 000 000SOCIETE INTERNATIONALE POUR LE COMMERCE ET LA REPRESENTATION SARL -S.I.C.R. SARL,23/02/2011,HAMO 5 N°E.37,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/societe-internationale-pour-le-commerce-et-la-representation-sarl-sicr-sarl, SNDKR2011B2541, 1 000 000
 SNDKR2011B2662, 1 000 000URJA ENTREPRISE SUARL,24/03/2011,PROVISOIREMENT VDN VILLA N°7...,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/urja-entreprise-suarl, SNDKR2011B2662, 1 000 000
 SNDKR2011B2542, 1 000 000AFRICA BUSINESS CENTER SUARL,23/02/2011,109 MAMELLE AVIATION OUAKAM A...,S.U.A.R.L,INDUSTRIE METALLURGIQUE / SIDERURGIQUE,http://www.creationdentreprise.sn/africa-business-center-suarl, SNDKR2011B2542, 1 000 000
 SNDKR2011B2666, 1 000 000ERMITE SARL,24/02/2011,SODIDA RUE 14 PROLONGEE LOT N...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/ermite-sarl, SNDKR2011B2666, 1 000 000
 SNDKR2011B2661, 1 050 000WELL COME PRO SARL,24/02/2011,LOT N°A/58 DEUX VOIES LIBERTE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/well-come-pro-sarl, SNDKR2011B2661, 1 050 000
 SNDKR2011B2573, 1 000 000SENINVEST GROUP SARL,25/02/2011,LIBERTE 6 EXTENSION LOT 3 TF...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/seninvest-group-sarl, SNDKR2011B2573, 1 000 000
 SNDKR2011B2558, 1 000 000SOLUTIONS ENERGETIQUES EFFICIENTES SARL -S.E.E. SARL,23/02/2011,14 CITE ROHOULAHI YOFF,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/solutions-energetiques-efficientes-sarl-see-sarl, SNDKR2011B2558, 1 000 000
 SNDKR2011B2559, 1 000 000GHIFA LA GUERISON SARL -GHIFA GUERISON SARL,23/03/2011,SACRE COEUR 1 N°8195 DAKAR,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/ghifa-la-guerison-sarl-ghifa-guerison-sarl, SNDKR2011B2559, 1 000 000
 SNDKR2011B2533, 1 000 000GLOBAL PRESTATIONS ET SERVICES SARL -GPS SARL,23/02/2011,CITE KHANDAR 2 OUEST FOIRE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/global-prestations-et-services-sarl-gps-sarl, SNDKR2011B2533, 1 000 000
 SNDKR2011B2832, 1 000 000FALINE SARL,28/02/2011,30 RUE MOUSSE DIOP,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/faline-sarl, SNDKR2011B2832, 1 000 000
 SNDKR2011B2417, 1 000 000AGROSYLVOPASTORAL SARL,21/02/2011,POINT E RUE D x 7 /5486,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),AGRICULTURE,http://www.creationdentreprise.sn/agrosylvopastoral-sarl, SNDKR2011B2417, 1 000 000
 SNDKR2011B2361, 1 000 000EXPORT TRADING COMPANY SENEGAL SUARL,21/02/2011,MALIKA NORD EXTENSION VILLA N...,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/export-trading-company-senegal-suarl, SNDKR2011B2361, 1 000 000
 SNDKR2011B2536, 1 000 000SOCIETE AFRICAINE POUR LE COMMERCE L&#039;INDUSTRIE ET L&#039;AGRICULTURE SUARL -SAFCIA SUARL,23/02/2011,45 BOULEVARD DJILY MBAYE,S.U.A.R.L,BTP,http://www.creationdentreprise.sn/societe-africaine-pour-le-commerce-lindustrie-et-lagriculture-suarl-safcia-suarl, SNDKR2011B2536, 1 000 000
 SNDKR2011B2538, 5 000 000SOCIETE D&#039;ETUDES ET DE CONSEILS IMMOBILIERS SARL - SECI CONSULTING,23/02/2011,MERMOZ EXTENSION LOT N°6...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/societe-detudes-et-de-conseils-immobiliers-sarl-seci-consulting, SNDKR2011B2538, 5 000 000
 SNDKR2011B2828, 1 180 000SUARL THIORO MAROSO,28/02/2011,35 CITE DES ENSEIGNANTS GOLF...,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/suarl-thioro-maroso, SNDKR2011B2828, 1 180 000
 SNDKR2011B2830, 1 000 000GLOBUS SARL,28/02/2011,LIBERTE V VILLA N°5683 N,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/globus-sarl, SNDKR2011B2830, 1 000 000
 SNDKR2011B17874, 5 000 000SOCIETE D&#039;ENERGIES ELECTRIQUE ET DE CONSTRUCTION SARL - SONERCO SARL,01/02/2011,VDN SICAP SACRE COEUR 3 VILLA...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/societe-denergies-electrique-et-de-construction-sarl-sonerco-sarl, SNDKR2011B17874, 5 000 000
 SNDKR2011B2539, 1 000 000EMPREINTES SENEGAL SUARL,23/02/2011,26 RUE WORO FANN HOCK,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/empreintes-senegal-suarl, SNDKR2011B2539, 1 000 000
 SNDKR2011B2826, 40 000 000NEPAD-FRADONKAR SA,28/02/2011,HANN MARINAS LOT N°3 YARAKH,SOCIETE ANONYME (S.A),PECHE,http://www.creationdentreprise.sn/nepad-fradonkar-sa, SNDKR2011B2826, 40 000 000
 SNDKR2011B2827, 1 000 000SWEN-TRADING SARL,28/02/2011,POINT E RUE 1 VILLA TOUTA,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),AGRICULTURE,http://www.creationdentreprise.sn/swen-trading-sarl, SNDKR2011B2827, 1 000 000
 SNDKR2011B2291, 1 000 000SECURITY AFRICA SYSTEMS SUARL- S.A.S SUARL,17/02/2011,CITE SIPRES 2 VILLA N°230,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/security-africa-systems-suarl-sas-suarl, SNDKR2011B2291, 1 000 000
 SNDKR2011B2298, 1 000 000KEUR&#039;EVEN SUARL,17/02/2011,LIBERTE 6 EXTENSION VILLA N°...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/keureven-suarl, SNDKR2011B2298, 1 000 000
 SNDKR2011B2301, 1 000 000RAMSES VOYAGES SUARL,10/02/2011,SACRE COEUR 3 VDN EXTENSION,S.U.A.R.L,TOURISME,http://www.creationdentreprise.sn/ramses-voyages-suarl, SNDKR2011B2301, 1 000 000
 SNDKR2011B2304, 1 000 000PC CONCEPT BUSINESS NETWORK- PC CONCEPT SUARL,17/02/2011,RUE 7 X BLAISE DIAGNE,S.U.A.R.L,NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/pc-concept-business-network-pc-concept-suarl, SNDKR2011B2304, 1 000 000
 SNDKR2011B2292, 1 000 000AMAPLAST SURL,17/02/2011,4.5 BOULEVARD DU CENTENAIRE...,S.U.R.L,PLASTIQUES / CAOUTCHOUCS / PNEUMATIQUES,http://www.creationdentreprise.sn/amaplast-surl, SNDKR2011B2292, 1 000 000
 SNDKR2011B2303, 1 000 000SEOUL PECHE SURL,17/02/2011,17 CITE SANDIAL HANN MARISTES,S.U.R.L,PECHE,http://www.creationdentreprise.sn/seoul-peche-surl, SNDKR2011B2303, 1 000 000
